User,Percentage,Segment Type,Segment Description,Answer,Count,Question
1,0.273,Mobile,Mobile respondents,Instagram,2559,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
2,0.126,Mobile,Mobile respondents,Facebook,1182,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
3,0.579,Mobile,Mobile respondents,Snapchat,5423,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
4,0.022,Mobile,Mobile respondents,Linkedin,210,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
5,0.256,Web,Web-based respondents,Instagram,30,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
6,0.274,Web,Web-based respondents,Facebook,32,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
7,0.402,Web,Web-based respondents,Snapchat,47,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
8,0.068,Web,Web-based respondents,Linkedin,8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
9,0.3,Gender,Female respondents,Instagram,1576,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
10,0.122,Gender,Female respondents,Facebook,644,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
11,0.564,Gender,Female respondents,Snapchat,2967,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
12,0.014,Gender,Female respondents,Linkedin,73,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
13,0.24,Gender,Male respondents,Instagram,1008,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
14,0.135,Gender,Male respondents,Facebook,565,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
15,0.591,Gender,Male respondents,Snapchat,2483,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
16,0.034,Gender,Male respondents,Linkedin,142,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
17,0,University,John Glenn High School,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
18,0,University,John Glenn High School,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
19,0,University,John Glenn High School,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
20,1,University,John Glenn High School,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
21,0,University,Alfred State University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
22,1,University,Alfred State University,Facebook,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
23,0,University,Alfred State University,Snapchat,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
24,0,University,Alfred State University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
25,0.053,University,Johns Hopkins University,Instagram,2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
26,0.368,University,Johns Hopkins University,Facebook,14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
27,0.553,University,Johns Hopkins University,Snapchat,21,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
28,0.026,University,Johns Hopkins University,Linkedin,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
29,0,University,Chapman University,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
30,0,University,Chapman University,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
31,1,University,Chapman University,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
32,0,University,Chapman University,Linkedin,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
33,0,University,Hillsdale College,Instagram,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
34,0,University,Hillsdale College,Facebook,0,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
35,1,University,Hillsdale College,Snapchat,1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?"
