User,Question,Segment Type,Segment Description,Answer,Count,Percentage
1,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Instagram,2559,0.273
2,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Facebook,1182,0.126
3,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Snapchat,5423,0.579
4,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Mobile,Mobile respondents,Linkedin,210,0.022
5,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Web,Web-based respondents,Instagram,30,0.256
6,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Web,Web-based respondents,Facebook,32,0.274
7,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Web,Web-based respondents,Snapchat,47,0.402
8,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Web,Web-based respondents,Linkedin,8,0.068
9,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Instagram,1576,0.3
10,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Facebook,644,0.122
11,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Snapchat,2967,0.564
12,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Female respondents,Linkedin,73,0.014
13,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Instagram,1008,0.24
14,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Facebook,565,0.135
15,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Snapchat,2483,0.591
16,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",Gender,Male respondents,Linkedin,142,0.034
17,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,John Glenn High School,Instagram,0,0
18,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,John Glenn High School,Facebook,0,0
19,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,John Glenn High School,Snapchat,0,0
20,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,John Glenn High School,Linkedin,1,1
21,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Alfred State University,Instagram,0,0
22,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Alfred State University,Facebook,1,1
23,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Alfred State University,Snapchat,0,0
24,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Alfred State University,Linkedin,0,0
25,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Johns Hopkins University,Instagram,2,0.053
26,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Johns Hopkins University,Facebook,14,0.368
27,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Johns Hopkins University,Snapchat,21,0.553
28,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Johns Hopkins University,Linkedin,1,0.026
29,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chapman University,Instagram,0,0
30,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chapman University,Facebook,0,0
31,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chapman University,Snapchat,1,1
32,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Chapman University,Linkedin,0,0
33,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Hillsdale College,Instagram,0,0
34,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Hillsdale College,Facebook,0,0
35,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Hillsdale College,Snapchat,1,1
36,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Hillsdale College,Linkedin,0,0
37,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of New Hampshire,Instagram,2,1
38,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of New Hampshire,Facebook,0,0
39,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of New Hampshire,Snapchat,0,0
40,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of New Hampshire,Linkedin,0,0
41,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of North Carolina,Instagram,9,0.237
42,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of North Carolina,Facebook,3,0.079
43,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of North Carolina,Snapchat,26,0.684
44,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of North Carolina,Linkedin,0,0
45,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Vanderbilt University,Instagram,11,0.275
46,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Vanderbilt University,Facebook,8,0.2
47,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Vanderbilt University,Snapchat,21,0.525
48,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Vanderbilt University,Linkedin,0,0
49,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Virginia,Instagram,37,0.236
50,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Virginia,Facebook,27,0.172
51,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Virginia,Snapchat,86,0.548
52,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Virginia,Linkedin,7,0.045
53,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Texas,Instagram,8,0.242
54,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Texas,Facebook,5,0.152
55,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Texas,Snapchat,16,0.485
56,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Texas,Linkedin,4,0.121
57,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cornell University,Instagram,113,0.248
58,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cornell University,Facebook,97,0.213
59,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cornell University,Snapchat,226,0.496
60,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Cornell University,Linkedin,20,0.044
61,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Butler University,Instagram,9,0.333
62,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Butler University,Facebook,2,0.074
63,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Butler University,Snapchat,13,0.481
64,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,Butler University,Linkedin,3,0.111
65,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Illinois,Instagram,8,0.11
66,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Illinois,Facebook,13,0.178
67,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Illinois,Snapchat,47,0.644
68,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Illinois,Linkedin,5,0.068
69,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Washington,Instagram,82,0.347
70,"You open ur phone and have a notif badge on instagram, facebook, snapchat, and linkedin...which do you click first?",University,University of Washington,Facebook,36,0.153
